timestamp,open,high,low,close,volume,signal
2025-09-19 17:30:00-04:00,87.8512,88.09,87.8512,88.09,462.0,0
2025-09-19 17:40:00-04:00,87.8642,88.1,87.8642,88.0,736.0,0
2025-09-19 17:50:00-04:00,88.1,88.1,87.9468,87.9468,1191.0,0
2025-09-19 18:00:00-04:00,87.8814,87.8814,87.85,87.85,1355.0,0
2025-09-19 18:20:00-04:00,88.0,88.0,88.0,88.0,304.0,0
2025-09-19 18:30:00-04:00,88.14,88.14,88.14,88.14,504.0,0
2025-09-19 18:40:00-04:00,88.14,88.15,87.91,87.91,7511.0,0
2025-09-19 18:50:00-04:00,88.1399,88.14,87.91,88.03,1894.0,0
2025-09-19 19:00:00-04:00,87.8835,88.16,87.8835,88.12,1414.0,0
2025-09-19 19:10:00-04:00,88.11,88.11,88.11,88.11,115.0,0
2025-09-19 19:30:00-04:00,88.07,88.1,88.0216,88.0216,1968.0,0
2025-09-19 19:40:00-04:00,88.2537,88.2537,88.0352,88.0352,2553.0,0
2025-09-19 19:50:00-04:00,88.01,88.25,88.0,88.25,720.0,0
2025-09-22 04:00:00-04:00,88.25,88.25,87.2,87.37,9637.0,0
2025-09-22 04:10:00-04:00,87.12,87.4,87.12,87.4,2264.0,0
2025-09-22 04:20:00-04:00,87.75,87.75,87.75,87.75,120.0,0
2025-09-22 04:30:00-04:00,87.51,87.65,87.46,87.65,938.0,0
2025-09-22 04:40:00-04:00,87.72,87.78,87.72,87.78,1461.0,0
2025-09-22 04:50:00-04:00,87.93,87.96,87.5,87.5,7305.0,0
2025-09-22 05:10:00-04:00,87.29,87.35,87.21,87.35,1471.0,0
2025-09-22 05:20:00-04:00,87.18,87.68,87.1,87.1,2229.0,0
2025-09-22 07:10:00-04:00,87.3,87.3,87.3,87.3,3.0,0
